疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）,疾病与保障赔付明细（可筛选）
111,第二层·严重儿童疾病,严重儿童疾病赔偿,主要器官和功能,威尔逊病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,铜代谢障碍（肝豆状核变性）。
112,第二层·严重儿童疾病,严重儿童疾病赔偿,其他主要疾病,出血性登革热,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,登革热出现合同列明的出血/休克等严重表现。
113,第二层·严重儿童疾病,严重儿童疾病赔偿,其他主要疾病,胰岛素依赖型糖尿病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,一型糖尿病。不是普通二型或饮食控制的血糖高。
114,第二层·严重儿童疾病,严重儿童疾病赔偿,其他主要疾病,成骨不全症第三型,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,玻璃骨第三型。
115,第二层·严重儿童疾病,严重儿童疾病赔偿,其他主要疾病,斯蒂尔病,20%预支,18岁以下,"50,000美元",每种1次,是,适用（保到18岁）,标准版爱伴航计划2（本方案）,否,全身型幼年特发性关节炎。
116,第三层·ICU,深切治疗保障赔偿·级别一,住院/深切治疗,入住深切治疗病房连续72小时或以上,20%预支,终身,"50,000美元；港澳以外降至保额10%",每级别各1次,是,适用,标准版爱伴航计划2（本方案）,否,不是普通病房。内地须指定医院。若同时符合早期危疾/儿童病，只赔较高的一档。
117,第三层·ICU,深切治疗保障赔偿·级别二,住院/深切治疗,ICU+侵入性维生支持连续120小时或以上，并接受自愿医保「复杂」手术,100%减去已预支,终身,无单独美元上限,每级别各1次,是,适用,标准版爱伴航计划2（本方案）,否,门槛很高。前10年可叠加升级保障50%。若同时符合严重疾病，一般只赔危疾那档。
118,第四层·多重赔偿,10X多重危疾赔偿·癌症,癌症,癌（须先预支满100%）,每次额外100%,至85岁,癌症合计不超过保额600%（含第一次严重疾病、10X、持续癌症现金）,连同第一次最多6次,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,两次癌症通常隔3年；确诊后须生存超过15日。不是儿童哮喘/自闭症能反复赔。
119,第四层·多重赔偿,10X多重危疾赔偿·心脏病,心脏相关,心脏病（须先预支满100%）,每次额外100%,至85岁,心脏病+中风合计不超过保额300%,心脏病最多2次（含第一次）,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,必须是新的一次心脏事故，要全新诊断证明。
120,第四层·多重赔偿,10X多重危疾赔偿·中风,神经系统,中风（须先预支满100%）,每次额外100%,至85岁,心脏病+中风合计不超过保额300%,中风最多2次（含第一次）,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,必须是新的脑血管意外，并有新的或更严重的神经功能障碍。
121,第四层·多重赔偿,10X多重危疾赔偿·脑退化或柏金逊,神经系统,亚尔兹默氏病/器质性脑退化 或 柏金逊症,额外100%,至85岁,不超过保额100%；两种病合计只赔1次,1次,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,脑退化须 MMSE≤10。赔完可进入每年6%终身年金。
122,第五层·持续支援,持续癌症现金选项,癌症,已获癌症严重疾病或10X赔偿后，85岁前仍在积极治疗或已是末期,每月5%（最长100个月/最高500%）,至85岁,癌症三条路合计不超过保额600%,与10X癌症二选一（一旦领取月付，癌症不再走10X）,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,积极治疗指手术/电疗/化疗/标靶，不含激素治疗。须每6个月交专科报告。隔1年才能选。
123,第五层·持续支援,脑退化疾病/柏金逊终身年金赔偿,神经系统,85岁前已获脑退化或柏金逊的严重疾病或10X赔偿,每年额外6%，直至身故或保单终止,终身（确诊须在85岁前）,无单独美元上限,每年一次，须交在生证明,否（额外赔偿）,适用,标准版爱伴航计划2（本方案）,是,隔1年才开始发。不占用预支100%钱包。
124,附加·升级保障,首10年升级保障（投保时30岁或以下）,附加金额,赔严重疾病 / 二级ICU / 身故时额外给,额外原有保额50%,首10个保单年度（本方案约5–15岁）,升级保障总额不超过保额50%,用完即止；第9周年日起可转换,否（额外，不进预支钱包）,适用（5岁投保=50%）,标准版爱伴航计划2（本方案）,否,若赔的是非严重疾病（脑动脉瘤手术），升级保障只给一半，即额外25%保额。31岁以上投保才是35%，本方案不是。
125,附加·双倍早期危疾,双倍早期危疾赔偿,早期危疾,65岁或以后且保单已缴清、且从未预支过,再给一笔等同早期危疾的预支,65岁或以后,"每保单上限25,000美元，且受该项早期危疾自身上限约束",每保单1次,是,适用（孩子几十年后才可能用到）,标准版爱伴航计划2（本方案）,否,现在5岁用不上。若中途已预支过任何一笔，这项就没了。
筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。,筛选提示：点第4行箭头即可。想看「小孩18岁前」→ 保障层级选「第二层·严重儿童疾病」。想看癌症能赔几次 → 保障层级选「第四层」或疾病名称含「癌」。颜色：红=严重疾病，橙=早期危疾，绿=儿童病，金=多重赔偿。
